WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,78,7.99956555365278,0.624365594980288,7,0.0,8.0,0.999565742309368
3,78,7.99956555365278,0.624365594980288,19,0.0,8.0,0.999565742309368
4,78,8.00613376228883,0.523968386177282,6,0.0,8.0,0.993903631486418
5,78,8.00196330592515,0.547791104447776,25,0.0,8.0,0.998040541031965
6,78,7.98525255594514,0.522172580376478,25,0.0,8.0,0.985466882718629
7,78,7.99605825983014,0.525009828419124,4,0.0,8.0,0.996073735938562
8,78,7.99786552503999,0.483880171025598,8,0.0,8.0,0.997870071353592
9,78,8.00181859333159,0.565406185795991,8,0.0,8.0,0.998184707919501
10,78,8.0000901163157,0.582854683769227,5,0.0,8.0,0.999909891805396
11,78,7.99524341963883,0.575704036870454,15,0.0,8.0,0.995265937377723
12,78,7.99997473228198,0.545823754789272,24,0.0,8.0,0.999974732920213
13,78,8.01285153898937,0.519416069742906,16,0.0,8.0,0.987311527334252
14,78,8.00108957283573,0.578080182131157,11,0.0,8.0,0.998911613086687
15,78,8.00182019990941,0.509655616636126,6,0.0,8.0,0.99818310721798
16,78,8.0036298824271,0.632826253539897,26,0.0,8.0,0.9963832460371
17,78,7.99977926589344,0.529041368204786,4,0.0,8.0,0.999779314610605
18,78,8.00812613654264,0.643323449386418,9,0.0,8.0,0.991939364976434
19,78,8.00408685326039,0.55642956299628,11,0.0,8.0,0.995929780918327
20,78,7.99910159738974,0.571428841134988,15,0.0,8.0,0.999102403811041
21,78,7.99187910042501,0.555815092453773,12,0.0,8.0,0.991944517745994
22,78,7.99817989719716,0.534948081514798,2,0.0,8.0,0.998183203955883
23,78,7.99533729090996,0.53811072241657,10,0.0,8.0,0.995358930646635
24,78,8.02183454075374,0.613852740296518,1,0.0,8.0,0.978632018948567
25,78,7.99067231759693,0.613044588816703,14,0.0,8.0,0.99075851893625
26,78,8.00140778495693,0.486790271530901,4,0.0,8.0,0.998594194080577
27,78,7.97707235863771,0.565070353712033,13,0.0,8.0,0.977586252506864
28,78,7.98088522940779,0.589977455716586,12,0.0,8.0,0.981243751383073
29,78,7.99877327746208,0.589052029540785,11,0.0,8.0,0.998774780508682
30,78,8.00338775275294,0.536474762618691,4,0.0,8.0,0.996623685431196
31,78,7.99723663714451,0.489816091954023,14,0.0,8.0,0.997244252296554
32,78,8.00309969663636,0.581796657226942,5,0.0,8.0,0.996909881718766
33,78,8.00080883840428,0.599947248597923,9,0.0,8.0,0.99919181528519
34,78,7.98256677923017,0.577217391304348,4,0.0,8.0,0.982865489184936
35,78,8.11097124827557,0.528637570103837,7,0.0,8.0,0.900113302053542
36,78,7.99380529360638,0.562304403353879,9,0.0,8.0,0.993843431594017
37,78,7.99673578603382,0.485197290243767,15,0.0,8.0,0.996746406512936
38,78,8.00761197504113,0.590495641068355,5,0.0,8.0,0.99244552936833
39,78,8.00658664033998,0.570614026320173,12,0.0,8.0,0.99345645980263
40,78,8.00915902270621,0.595403409406408,11,0.0,8.0,0.990924103402968
41,78,7.99821920077795,0.623076350713532,14,0.0,8.0,0.998222366367817
42,78,8.00049147607764,0.574341384863124,8,0.0,8.0,0.999508765336209
43,78,7.99922680198062,0.547560108834472,11,0.0,8.0,0.999227399343813
44,78,8.00115353995412,0.547831972902438,10,0.0,8.0,0.998847789138673
45,78,8.00051573962869,0.561029596312955,2,0.0,8.0,0.999484526242143
46,78,8.00192388008036,0.566152590371481,41,0.0,8.0,0.998079814133155
47,78,7.99563723347342,0.601346660003332,4,0.0,8.0,0.995656184422704
48,78,7.99366419320928,0.557687156421789,4,0.0,8.0,0.99370408314414
49,78,8.00105211600607,0.525020933977456,9,0.0,8.0,0.99894898974089
50,78,8.00298295904757,0.550817480148814,20,0.0,8.0,0.997025912430464
51,78,8.00375932782887,0.532943306124716,8,0.0,8.0,0.996254751805436
52,78,8.00403455329349,0.593088122605364,11,0.0,8.0,0.995981659021578
53,78,8.02147663120849,0.541402409906158,14,0.0,8.0,0.978974916007233
54,78,8.00057700478818,0.511614748181465,4,0.0,8.0,0.99942332794153
55,78,7.99813220779667,0.524217002609806,6,0.0,8.0,0.998135689924
56,78,8.00186988123329,0.52631750791271,9,0.0,8.0,0.99813360875347
57,78,7.98869135829626,0.536975512243878,9,0.0,8.0,0.988817813243702
58,78,8.00283492999253,0.545758343050697,2,0.0,8.0,0.9971730840245
59,78,7.99985356157314,0.476202121161641,9,0.0,8.0,0.9998535830152
60,78,8.00120626196414,0.583554222888556,8,0.0,8.0,0.998795191394001
61,78,7.99987569164629,0.545316786051419,11,0.0,8.0,0.99987570709724
62,78,7.9957920508583,0.55106491198845,20,0.0,8.0,0.995809683484757
63,78,7.99625195841617,0.628306180243212,11,0.0,8.0,0.996265953782838
64,78,7.99465396356703,0.5155965350658,4,0.0,8.0,0.994682391612488
65,78,8.00418482646263,0.562516852684769,11,0.0,8.0,0.995832613511289
66,78,8.01520899429036,0.604160142151147,0,0.0,8.0,0.985018854119975
67,78,8.00475520618121,0.587420511966239,10,0.0,8.0,0.99526729856606
68,78,8.00174194112244,0.517879948914432,5,0.0,8.0,0.99826108799532
69,78,7.99505405685553,0.500205897051474,10,0.0,8.0,0.995078398827475
70,78,8.0041137774152,0.596303514909212,10,0.0,8.0,0.995903076292111
71,78,8.0038657945052,0.543626742184463,6,0.0,8.0,0.996149092306315
72,78,7.98815416218855,0.567805208506858,4,0.0,8.0,0.98829284372186
73,78,8.00476661418565,0.579696596146371,14,0.0,8.0,0.995255998647765
74,78,8.00654386444538,0.568537731134433,24,0.0,8.0,0.993498679265877
75,78,7.99986471244277,0.559106557832195,22,0.0,8.0,0.999864730745079
76,78,7.99300842132996,0.529490365928147,5,0.0,8.0,0.99305696405079
77,78,7.99613644271689,0.512965406185796,11,0.0,8.0,0.996151312383057
78,78,7.98077245921054,0.576635682158921,6,0.0,8.0,0.981135183888173
79,78,7.98003532073952,0.579193403298351,3,0.0,8.0,0.980426106446975
80,78,7.99831396085652,0.544321394858126,3,0.0,8.0,0.998316798795227
81,78,8.00215933277506,0.537639735687712,8,0.0,8.0,0.997845319815183
82,78,8.01082687344664,0.568306735521128,6,0.0,8.0,0.989289092053372
