SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
26,24,5.0,6,4.83333333333333,29
50,5,6.0,20,3.6,72
42,4,7.0,12,3.08333333333333,37
21,20,8.0,8,5.75,46
32,15,9.0,15,3.06666666666667,46
9,9,10.0,13,2.46153846153846,32
11,14,11.0,15,3.33333333333333,50
32,21,12.0,25,4.6,115
40,28,13.0,14,5.92857142857143,83
5,9,14.0,13,4.30769230769231,56
40,5,15.0,14,5.42857142857143,76
5,28,16.0,13,6.84615384615385,89
49,24,17.0,6,7.66666666666667,46
23,21,18.0,16,5.8125,93
50,8,19.0,14,4.64285714285714,65
11,10,20.0,9,2.88888888888889,26
20,12,21.0,13,5.92307692307692,77
11,27,22.0,15,7.73333333333333,116
9,4,23.0,16,4.375,70
6,5,24.0,17,3.52941176470588,60
26,6,25.0,8,3.75,30
29,4,26.0,10,4.1,41
47,30,27.0,18,3.61111111111111,65
9,7,28.0,11,3.81818181818182,42
21,20,29.0,11,4.72727272727273,52
17,12,30.0,15,3.06666666666667,46
11,7,31.0,9,1.88888888888889,17
33,20,32.0,14,2.92857142857143,41
27,14,33.0,8,3.5,28
36,25,34.0,13,3.46153846153846,45
47,28,35.0,10,2.5,25
21,5,36.0,6,2.83333333333333,17
48,4,37.0,15,3.26666666666667,49
3,20,38.0,18,2.33333333333333,42
12,8,39.0,8,1.5,12
17,16,40.0,12,3.66666666666667,44
28,10,41.0,11,2.54545454545455,28
5,29,42.0,15,1.73333333333333,26
18,25,43.0,13,2.92307692307692,38
27,26,44.0,13,2.23076923076923,29
33,24,45.0,13,2.30769230769231,30
34,11,46.0,14,1.71428571428571,24
10,11,47.0,10,2.4,24
32,24,48.0,11,1.63636363636364,18
34,19,49.0,12,2.33333333333333,28
48,3,50.0,18,1.38888888888889,25
9,9,51.0,12,1.83333333333333,22
3,18,52.0,13,1.07692307692308,14
10,3,53.0,19,2.05263157894737,39
27,22,54.0,13,2.92307692307692,38
39,2,55.0,9,1.66666666666667,15
24,29,56.0,14,1.57142857142857,22
38,10,57.0,17,2.17647058823529,37
38,13,58.0,14,2.07142857142857,29
41,8,59.0,18,1.88888888888889,34
49,26,60.0,13,2.69230769230769,35
50,22,61.0,11,1.0,11
1,27,62.0,18,2.55555555555556,46
30,2,63.0,16,1.75,28
49,8,64.0,11,2.0,22
15,11,65.0,20,1.4,28
29,26,66.0,15,2.33333333333333,35
18,16,67.0,17,1.52941176470588,26
21,20,68.0,15,1.6,24
25,21,69.0,12,1.58333333333333,19
46,25,70.0,15,1.2,18
50,15,71.0,18,1.72222222222222,31
15,4,72.0,10,1.2,12
4,11,73.0,11,1.72727272727273,19
31,19,74.0,21,1.57142857142857,33
16,16,75.0,11,1.45454545454545,16
27,15,76.0,13,2.15384615384615,28
30,5,77.0,12,1.5,18
37,15,78.0,14,2.0,28
23,20,79.0,11,2.54545454545455,28
6,20,80.0,11,1.18181818181818,13
34,19,81.0,15,0.733333333333333,11
6,16,82.0,14,1.57142857142857,22
13,8,83.0,13,1.0,13
30,24,84.0,11,1.18181818181818,13
26,20,85.0,12,2.0,24
7,24,86.0,16,1.1875,19
44,24,87.0,9,1.77777777777778,16
47,15,88.0,9,1.22222222222222,11
38,1,89.0,8,1.75,14
14,22,90.0,12,1.16666666666667,14
40,16,91.0,7,2.28571428571429,16
35,20,92.0,19,2.05263157894737,39
9,17,93.0,8,0.5,4
49,7,94.0,18,1.38888888888889,25
39,18,95.0,15,1.26666666666667,19
9,18,96.0,13,0.461538461538462,6
23,29,97.0,9,1.0,9
31,15,98.0,6,2.83333333333333,17
33,17,99.0,15,1.13333333333333,17
50,9,100.0,13,1.30769230769231,17
33,6,101.0,9,0.555555555555556,5
19,18,102.0,13,1.07692307692308,14
42,14,103.0,17,1.11764705882353,19
29,23,104.0,8,1.5,12
17,17,105.0,15,1.4,21
23,15,106.0,13,1.07692307692308,14
21,10,107.0,14,1.28571428571429,18
12,30,108.0,12,0.416666666666667,5
2,16,109.0,17,1.23529411764706,21
33,16,110.0,14,1.07142857142857,15
40,9,111.0,11,0.909090909090909,10
25,11,112.0,11,1.36363636363636,15
18,7,113.0,10,1.6,16
17,11,114.0,11,0.636363636363636,7
18,6,115.0,9,1.88888888888889,17
9,5,116.0,14,1.07142857142857,15
40,5,117.0,13,1.30769230769231,17
23,13,118.0,13,0.384615384615385,5
48,18,119.0,17,1.41176470588235,24
28,26,120.0,3,2.33333333333333,7
