SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
40,11,5.0,6,2.0,12
40,8,6.0,10,2.1,21
5,6,7.0,12,1.91666666666667,23
19,18,8.0,11,4.0,44
6,3,9.0,12,4.58333333333333,55
1,23,10.0,11,4.63636363636364,51
47,12,11.0,12,3.58333333333333,43
50,27,12.0,19,6.05263157894737,115
22,26,13.0,9,2.22222222222222,20
6,27,14.0,13,5.53846153846154,72
27,11,15.0,7,5.14285714285714,36
42,30,16.0,17,7.05882352941176,120
33,24,17.0,18,5.16666666666667,93
22,29,18.0,14,3.42857142857143,48
45,9,19.0,13,3.23076923076923,42
20,27,20.0,16,6.3125,101
17,21,21.0,19,4.36842105263158,83
13,9,22.0,13,5.69230769230769,74
20,8,23.0,14,4.85714285714286,68
30,1,24.0,14,4.0,56
30,1,25.0,16,5.5625,89
23,23,26.0,11,3.18181818181818,35
16,6,27.0,12,5.58333333333333,67
37,6,28.0,23,6.39130434782609,147
8,4,29.0,10,4.0,40
1,17,30.0,12,5.25,63
30,13,31.0,17,5.76470588235294,98
33,11,32.0,15,4.66666666666667,70
35,26,33.0,14,4.42857142857143,62
24,22,34.0,16,4.5625,73
8,15,35.0,8,3.375,27
3,6,36.0,13,3.38461538461538,44
18,24,37.0,13,3.84615384615385,50
38,23,38.0,8,3.875,31
49,26,39.0,16,2.875,46
9,1,40.0,11,3.63636363636364,40
43,17,41.0,12,2.16666666666667,26
37,25,42.0,6,4.83333333333333,29
47,6,43.0,16,3.25,52
18,2,44.0,18,3.38888888888889,61
34,4,45.0,13,3.38461538461538,44
8,14,46.0,14,3.0,42
41,24,47.0,17,4.0,68
37,5,48.0,18,2.83333333333333,51
38,24,49.0,11,3.09090909090909,34
38,17,50.0,9,2.11111111111111,19
31,18,51.0,16,3.0,48
13,9,52.0,8,2.75,22
1,1,53.0,7,2.71428571428571,19
47,6,54.0,14,3.14285714285714,44
35,23,55.0,18,2.72222222222222,49
21,12,56.0,10,3.0,30
17,2,57.0,5,2.4,12
38,13,58.0,7,4.71428571428571,33
5,18,59.0,16,1.3125,21
36,3,60.0,17,1.82352941176471,31
17,22,61.0,11,3.81818181818182,42
10,15,62.0,12,1.58333333333333,19
39,21,63.0,11,1.90909090909091,21
40,11,64.0,12,1.75,21
48,2,65.0,18,2.5,45
4,9,66.0,22,2.18181818181818,48
21,23,67.0,13,2.53846153846154,33
1,23,68.0,13,1.53846153846154,20
16,8,69.0,14,2.92857142857143,41
50,7,70.0,9,2.77777777777778,25
28,23,71.0,20,1.6,32
15,14,72.0,15,1.6,24
40,17,73.0,13,2.07692307692308,27
13,24,74.0,13,1.69230769230769,22
23,25,75.0,14,2.28571428571429,32
29,30,76.0,12,2.25,27
16,17,77.0,10,1.6,16
42,4,78.0,12,1.66666666666667,20
12,3,79.0,11,1.09090909090909,12
8,5,80.0,14,1.21428571428571,17
41,29,81.0,18,2.0,36
19,17,82.0,12,2.0,24
40,10,83.0,19,1.47368421052632,28
41,8,84.0,13,1.92307692307692,25
20,4,85.0,23,1.52173913043478,35
23,26,86.0,12,0.916666666666667,11
39,9,87.0,13,0.769230769230769,10
24,18,88.0,9,1.0,9
35,29,89.0,15,1.6,24
3,8,90.0,15,1.53333333333333,23
14,8,91.0,15,1.6,24
18,3,92.0,9,1.66666666666667,15
16,5,93.0,13,1.38461538461538,18
4,14,94.0,10,1.1,11
9,20,95.0,11,1.81818181818182,20
1,7,96.0,9,0.888888888888889,8
10,22,97.0,17,1.76470588235294,30
33,15,98.0,11,2.0,22
18,25,99.0,12,1.16666666666667,14
12,14,100.0,12,2.5,30
27,27,101.0,13,1.53846153846154,20
25,30,102.0,15,2.66666666666667,40
28,9,103.0,13,2.07692307692308,27
18,17,104.0,16,0.6875,11
22,27,105.0,11,1.09090909090909,12
37,17,106.0,7,2.0,14
31,29,107.0,9,2.11111111111111,19
1,14,108.0,12,2.25,27
40,11,109.0,14,1.42857142857143,20
49,23,110.0,13,1.15384615384615,15
5,16,111.0,10,0.9,9
24,21,112.0,15,1.26666666666667,19
17,21,113.0,10,1.4,14
27,19,114.0,12,1.41666666666667,17
34,10,115.0,8,1.25,10
31,2,116.0,6,0.833333333333333,5
19,12,117.0,13,1.61538461538462,21
30,23,118.0,12,1.16666666666667,14
26,28,119.0,10,1.7,17
1,12,120.0,17,1.05882352941176,18
